Alder,Alnus rubra,0.41,
Alelaila,Melia azedarach,0.51,
Aleli,Melia azedarach,0.51,
Alexandrian Laurel,Calophyllum inophyllum,0.55,
Alga,Hymenaea courbaril,0.83,
Algarobo,Hymenaea courbaril,0.83,
Algarrobo,Hymenaea courbaril,0.83,
Algorrobillo,Prioria copaifera,0.42,
Aligna,Afzelia bipindensis,0.62,
Aligna,Afzelia pachyloba,0.62,
Aligna,Afzelia quanzensis,0.62,
Alilaila,Melia azedarach,0.51,
Al-langigan,Canangium odoratum,0.28,
Allen Ele,Microberlinia brazzavillensis,0.77,3
Alligator Tree,Liquidambar styraciflua,0.52,
Alm,Ulmus glabra,0.53,
Almaciga,Agathis borneensis,0.41,
Almaciga,Agathis philippinensis,0.33,
Almedro Macho,Astronium graveolens,0.89,
Almedro Macho,Astronium graveolens,0.80,
Almendrillo,Caryocar villosum,0.76,
Almendr—n,Caryocar villosum,0.76,
Almendro,Caryocar villosum,0.76,
Almendro,Dipteryx odorata,0.82,
Almendro,Terminalia amazonia,0.76,
Almendro,Terminalia amazonica,0.76,
Almiqui,Manilkara bidentata,0.95,
Almon,Shorea contorta,0.37,4
Almon,Shorea leprosula,0.50,4
Almon,Shorea leptoclados,0.38,4
Almon,Shorea smithiana,0.43,4
Alm Žndro,Caryocar villosum,0.76,
Aloe,Excoecaria agallocha,0.42,
Alona Wood,Lovoa trichiliodes,0.46,
Alone,Bombax brevicuspe,0.35,
Alone,Bombax chevalieri,0.51,
Aloyam,Pometia pinnata,0.60,
Alpine Fir,Abies amabilis,0.43,
Alpine Fir,Abies lasiocarpa,0.32,
Alumbre,Tabebuia serratifolia,0.99,
Aluppe,Bassia latifolia,0.82,
Amabilis Fir,Abies amabilis,0.43,
Amacey,Tetragastris altissima,0.74,
Amansamujer,Prioria copaifera,0.42,
Amanza Muger,Prioria copaifera,0.42,
Amapa,Tabebuia serratifolia,0.99,
Amapa Prieta,Tabebuia serratifolia,0.99,4
Amapa Priete,Tabebuia serratifolia,0.99,
Amapa Prieto,Tabebuia serratifolia,0.99,
Amapa Rana,Brosimum rubescens,0.63,
Amapola,Spathodea campanulata,0.25,
Amarante,Peltogyne porphyrocardia,0.69,
Amarante,Peltogyne venosa,0.69,
Amaranth,Peltogyne porphyrocardia,0.69,
Amaranth,Peltogyne venosa,0.69,
Amaratante,Peltogyne venosa,0.69,
Amarelinho,Plathymenia reticulata,0.56,
Amarello,Plathymenia reticulata,0.56,
Amarillo,Cordia alliodora,0.51,
Amarillo Carabazuelo,Terminalia amazonia,0.76,
Amarillo Carabazuelo,Terminalia amazonica,0.76,
Amarillo de Panama,Terminalia amazonia,0.76,
Amarillon,Terminalia amazonia,0.76,
Amat,Tetramerista glabra,0.73,
Amaya,Musanga cecropioides,0.23,
Amazakoue,Guibourtia ehie,0.71,4
Amazoue,Guibourtia ehie,0.71,4
Ambila,Pterocarpus angolensis,0.59,
Am-bop,Mitragyna stipulosa,0.53,
Amboyna,Pterocarpus indicus,0.57,3
Ambugis,Koordersiodendron pinnatum,0.71,
Amburana,Amburana cearensis,0.58,4
Amburana de Cheiro,Amburana cearensis,0.58,
Amerello,Plathymenia reticulata,0.56,
American Ash,Fraxinus americana,0.60,
American Ash,Fraxinus pennsylvanica,0.56,
American Basswood,Tilia americana,0.37,1
American Beech,Fagus grandifolia,0.64,1
American Birch,Betula alleghaniensis,0.62,
American Birch,Betula papyrifera,0.55,
American Black Ash,Fraxinus nigra,0.49,
American Black Cherry,Prunus serotina,0.50,
American Black Walnut,Juglans nigra,0.55,
American Chestnut,Castanea dentata,0.43,1
American Ebony,Diospyros virginiana,0.71,
